RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
AB's - Absolute Barbecues,"North Indian, Continental, Desserts, Salad",1100," MGF Metropolis Mall, MG Road, Gurgaon",4.6,8002,53
Qureshi Kabab Corner,"Mughlai, Kebab",400," Jama Masjid, New Delhi",4.6,1453,0
Clock Tower,"North Indian, Asian, Beverages, Fast Food",2500," Golf Course Road, Gurgaon",4.6,1300,9
Saravana Bhavan,"South Indian, Beverages",600," Connaught Place, New Delhi",4.6,8305,10
C.I.A Call It Asiian,"Thai, Chinese, Sushi, Momos",700," Greater Kailash 2 (GK2), New Delhi",4.6,1373,10800
Open Tap,"Finger Food, North Indian, Continental, Italian",1800," South Point Mall, Golf Course Road, Gurgaon",4.6,936,0
Hamoni: Cafe By The Greens,"Cafe, North Indian, Italian, Desserts, Beverages",1200," Sector 23, Gurgaon",4.6,959,74
Indian Grill Room,"North Indian, Mughlai, Beverages, Kebab",1800," Suncity Business Tower, Golf Course Road, Gurgaon",4.6,3438,12400
Noida Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1300," DLF Mall of India, Sector 18,  Noida, Noida",4.6,944,465
K3 - JW Marriott New Delhi,"North Indian, Chinese, Italian, Momos",3500," JW Marriott New Delhi, New Delhi",4.6,1608,0
Barbeque Nation,"North Indian, BBQ, Beverages, Desserts",1500," Unity One Mall, Janakpuri, New Delhi",4.6,2881,1280
Di Ghent Cafe,"European, Belgian",1700," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,2346,2886
Vapour Bar Exchange,"Continental, Italian, American, North Indian",1600," Sohna Road, Gurgaon",4.6,1208,198
Kiara Soul Kitchen,"Asian, North Indian, Oriental, Desserts, Juices, Beverages",1800," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.6,595,118
The Yellow Chilli,"North Indian, Mughlai, Chinese, Beverages, Desserts, Kebab",1600," Sector 110, Noida",4.6,2575,1207
Mahabelly,"Kerala, South Indian, Seafood, Biryani",700," DLF Avenue, Saket, New Delhi",4.6,2323,11600
The Piano Man Jazz Club,"Finger Food, Mexican, American, Italian, Asian, Beverages",1800," Safdarjung, New Delhi",4.6,1277,55
