RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
China Club,"Chinese, Asian, Seafood, Momos",3100," MG Road, Gurgaon",4.3,624,278
Bagundi,"South Indian, Biryani, Andhra, Hyderabadi",800," Connaught Place, New Delhi",4.3,923,1493
Lotus Pond,"Chinese, Seafood, Asian, Beverages",2000," New Friends Colony, New Delhi",4.3,784,970
Pearl's Eatery By Pearl Boutique Bakery,"Cafe, Italian, Desserts, Beverages",1500," Greater Kailash 2 (GK2), New Delhi",4.3,553,910
Desi Tadka,"North Indian, South Indian, Chinese",500," Gaur City 1, Greater Noida",4.3,741,10800
Abongchiiz,"Continental, Chinese, North Indian, Momos, Fast Food",1100," Delhi University-GTB Nagar, New Delhi",4.3,1710,1338
Concept Shawarma,"North Indian, Chinese",650," Flyover Market, Defence Colony, New Delhi",4.3,1320,22700
Cool Point Shahi Tukda,"Desserts, Ice Cream",100," Jama Masjid, New Delhi",4.3,372,3
Spice Market,"North Indian, Mughlai, Biryani, Hyderabadi, Beverages",850," Southern Park Mall, Saket, New Delhi",4.3,737,9144
Shawarma House,"Lebanese, Middle Eastern, Wraps, Mediterranean",500," Central Plaza Mall, Golf Course Road, Gurgaon",4.3,1686,20300
The Beer Cafe,"North Indian, Finger Food, Fast Food",1800," Unity One Mall, Janakpuri, New Delhi",4.3,1334,63
Fat Jar Cafe & Market,"Fast Food, Italian, Tea, Beverages",1800," Kailash Colony, New Delhi",4.3,595,250
Biryani Birinj,"North Indian, Biryani, Rolls, Fast Food, Mughlai",600," Sector 7, Dwarka, New Delhi",4.3,392,740
Brownie Point,"Bakery, Desserts",400," East Patel Nagar, New Delhi",4.3,307,697
Punjab On My Plate,"North Indian, Beverages, Chinese, Mughlai, Pasta",1300," Baani Square, Sector 50, Gurgaon",4.3,863,3695
Nowhere Terrace Brewpub Cafe,"Cafe, Asian, North Indian, Italian, Continental",1600," Cross Point Mall, DLF Phase 4, Gurgaon",4.3,1414,0
City Of Joy,Bengali,1000," Alaknanda, New Delhi",4.3,773,2054
Thai Pavilion - Taj City Centre Gurugram,"Thai, Asian",4000," Taj City Centre Gurugram, Sector 44, Gurgaon, Gurgaon",4.3,348,78
Bisque Bakery,"Bakery, Fast Food, European",600," Central Arcade, DLF Phase 2, Gurgaon, Gurgaon",4.3,639,3
Donald's Pastry Shop,Bakery,300," Raj Nagar, Ghaziabad",4.3,553,12
The Food Stories,"North Indian, Chinese, Fast Food, Sandwich, Burger, Beverages",550," Gaur City 1, Greater Noida",4.3,810,15100
Nueva,"European, American, Asian",3000," Sangam Courtyard, RK Puram, New Delhi",4.3,987,0
Bille Di Hatti,"North Indian, Mithai",150," Kamla Nagar, New Delhi",4.3,1125,3246
Bikkgane Biryani,"Biryani, North Indian, Andhra, Kebab, Mughlai",1000," Sector 23, Gurgaon",4.3,1186,12700
Side Wok,"Asian, Chinese, Japanese, Thai",2000," Golf Course Road, Gurgaon",4.3,641,6344
Cafe Diva,"European, Italian",2500," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.3,592,1013
Fabcafe By Fabindia,"North Indian, Sandwich, Wraps, Street Food, Desserts, Healthy Food, Beverages",1000," Vasant Kunj, New Delhi",4.3,549,2090
Fingerlickerz Bombaywala,"North Indian, South Indian, Fast Food, Street Food",400," Sector 11, Dwarka, New Delhi",4.3,819,8224
Asia Kitchen By Mainland China,"Chinese, Asian, Sushi",1800," Ambience Mall, DLF Phase 3, Gurgaon",4.3,437,186
Wai Yu Mun Ching,"Chinese, Thai",600," Supermart 1, DLF Phase 4, Gurgaon",4.3,941,5617
Art of Spices,"North Indian, Rolls",450," Karol Bagh, New Delhi",4.3,1454,11900
Binge,"Bakery, Cafe, Desserts, Fast Food",600," Qutab Plaza, DLF Phase 1, Gurgaon",4.3,1359,4666
After Stories,"Bar Food, North Indian, Continental",2000," Sector 29, Gurgaon",4.3,1365,23
Shagun,"Chinese, Thai, Tibetan, Japanese",800," Vijay Nagar, New Delhi",4.3,876,12700
The Blue Bar - Taj Palace,Finger Food,3900," Taj Palace, Chanakyapuri, New Delhi",4.3,362,0
Rosebud - By The Nook,"North Indian, Continental, Chinese, Mughlai, Seafood, Pizza, Pasta",1900," Sohna Road, Gurgaon",4.3,621,27
Chidambaram's New Madras Hotel,"South Indian, Chinese, Beverages",500," Lodhi Colony, New Delhi",4.3,705,9813
Cinnabon,"Desserts, Bakery, Beverages, Sandwich",400," DLF Avenue, Saket, New Delhi",4.3,610,1124
Haristo Pizzeria,"Continental, Italian, Chinese, Pizza, Beverages",600," Raj Nagar, Ghaziabad",4.3,850,6691
Hotel Malabar,"Kerala, Chinese, South Indian, Biryani",350," Sector 39, Gurgaon",4.3,655,1383
Mr. Brown,"Bakery, Desserts, Fast Food",500," Kaushambi, Ghaziabad",4.3,882,2113
Delicate Delights,"Cafe, Fast Food, Desserts, Beverages",600," Sector 16, Faridabad",4.3,537,476
Momo Hut,"Momos, Chinese, Tibetan, Thai",500," Gaur City 1, Greater Noida",4.3,581,15200
Retreat @ USI,"North Indian, Chinese, Continental, Salad",800," Vasant Vihar, New Delhi",4.3,379,0
SugarLicious,"Bakery, Desserts, Beverages, Fast Food",400," Rodeo Drive, Sector 49, Gurgaon, Gurgaon",4.3,504,7562
Cafe Yell,"Cafe, Continental, Italian",1000," Defence Colony Main Market, Defence Colony, New Delhi",4.3,468,1862
Fur Ball Story,"Cafe, Fast Food, Beverages",500," Golf Course Road, Gurgaon",4.3,403,44
New Punjabi Khana,North Indian,300," Nehru Place, New Delhi",4.3,972,2100
Puppychino Dog Friendly Cafe,"Cafe, Continental, Italian, Beverages",1000," Shahpur Jat, New Delhi",4.3,742,59
China Bowl,"Chinese, Thai, Japanese, Tibetan",800," Satyaniketan, New Delhi",4.3,593,5988
Fa Yian,Chinese,1200," Connaught Place, New Delhi",4.3,551,99
Burger Monk,"Burger, Fast Food, Beverages",500," Baani Square, Sector 50, Gurgaon",4.3,793,3656
Secular House Canteen,"South Indian, Chinese, North Indian, Beverages",600," JNU, New Delhi",4.3,725,1603
R.E.D - Radisson Blu,"North Indian, Chinese, Italian, Asian, Thai, Japanese, Fast Food, Desserts",2000," Radisson Blu, Sector 18, Noida, Noida",4.3,557,1
Odisha Hotel,Odia,600," Sainik Farms, New Delhi",4.3,394,844
Lockup,"North Indian, Chinese, Biryani, Continental, Italian, Beverages, Desserts",850," Sector 23, Gurgaon",4.3,1273,7760
Waffle Nation,Desserts,300," Vijay Nagar, New Delhi",4.3,514,3652
The Curry King,"North Indian, Chinese",550," Saket, New Delhi",4.3,568,6783
Cervesia,"North Indian, Continental, Chinese",1900," Sector 29, Gurgaon",4.3,1443,0
Chaayos - Meri Wali Chai,"Street Food, Fast Food, Beverages, Desserts",500," Connaught Place, New Delhi",4.3,597,1697
Lub Lub Lebanese,"Lebanese, Fast Food, Beverages",550," Baani Square, Sector 50, Gurgaon",4.3,827,14400
Coastal Reef,"Kerala, Andhra, Seafood, South Indian",1200," Baani Square, Sector 50, Gurgaon",4.3,806,8856
The Spice Lab,"North Indian, Mughlai, Beverages, Biryani, Desserts",1000," Baani Square, Sector 50, Gurgaon",4.3,1015,13600
Sandburg Shakes,"Burger, Sandwich, Continental, Fast Food, Beverages",750," Baani Square, Sector 50, Gurgaon",4.3,832,13500
Culinaire,"Chinese, Thai",800," Greater Kailash 2 (GK2), New Delhi",4.3,1200,9864
London Grill Co.,"Burger, Wraps, Sandwich, Healthy Food, Fast Food, Continental, Beverages, American",500," Paschim Vihar, New Delhi",4.3,930,8934
Stop My Starvation,"European, Sandwich, Desserts, Beverages",400," Malviya Nagar, New Delhi",4.3,512,8805
Magadh & Awadh,"North Indian, Lucknowi, Mughlai, Awadhi",750," Sector 49, Gurgaon",4.3,555,4359
Brioche Dorée,"Cafe, Bakery, Continental, Italian, Beverages",500," Pandav Nagar, New Delhi",4.3,482,82
Zauk,"Mughlai, North Indian, Kebab, Rolls, Biryani",400," Ansal Plaza Mall, Knowledge Park, Greater Noida",4.3,1082,22700
Blackmail,"North Indian, Chinese, Mughlai, Italian",1600," Kamla Nagar, New Delhi",4.3,1300,0
House of Nawabs,"North Indian, Mughlai",600," Yusuf Sarai, New Delhi",4.3,227,3291
Tangy House,"Chinese, North Indian, Continental",1900," Sushant Lok, Gurgaon",4.3,449,394
Burgrill - Grilling Burgers For India,"Healthy Food, Fast Food, Burger, Beverages",500," Greater Kailash 2 (GK2), New Delhi",4.3,522,5552
L'Opéra Salon de Thé,"Cafe, Bakery, Desserts, Fast Food, French, Coffee, Tea",1700," Epicuria Food Mall, Nehru Place, New Delhi",4.3,347,1140
Café Resto - Jaypee Siddharth,"European, Continental, North Indian, Desserts, Italian",3000," Jaypee Siddharth, Rajendra Place, New Delhi",4.3,998,18
Poppins Hotal,"North Indian, Goan, South Indian",800," Cross Point Mall, DLF Phase 4, Gurgaon",4.3,268,95
Wat-A-Burger - India Ka Burger,"Burger, Fast Food, Beverages",300," Sector 18, Noida",4.3,1276,16600
Krispy Kreme,"Desserts, Beverages",300," Select Citywalk Mall, Saket, New Delhi",4.3,924,3433
Morellos - (Mess)Merising Shakes,"Cafe, Beverages",900," Sector 57, Gurgaon",4.3,458,803
Pizzeria By Crepe-fe,"Desserts, Fast Food, American, Beverages, Pizza, Ice Cream",700," Baani Square, Sector 50, Gurgaon",4.3,436,3824
Pita Pit,"Healthy Food, Fast Food, Salad, Beverages",500," Cyber Hub, DLF Cyber City, Gurgaon",4.3,1073,6565
Oriental Fusion,"Asian, Chinese, Thai",650," Baani Square, Sector 50, Gurgaon",4.3,715,8294
Milestone,"North Indian, Mughlai, Biryani, Rolls, Momos",600," Sector 25, Noida",4.3,781,7236
Bakerz Lodge,"Bakery, Desserts, Fast Food",500," Punjabi Bagh, New Delhi",4.3,341,2330
Gabbars,"Mughlai, North Indian, Fast Food",350," Vasant Kunj, New Delhi",4.3,382,3589
Bowl King,"North Indian, South Indian, Chinese",300," Sector 23, Dwarka, New Delhi",4.3,320,12
Namaste Bharat Restaurant,"North Indian, Chinese",600," Sector 135, Noida",4.3,342,172
Bharat Bhojnalaya,North Indian,300," NIT, Faridabad",4.3,444,15500
One8 Commune,"Finger Food, Continental, North Indian, Asian, Beverages",2500," Aerocity, New Delhi",4.2,806,31
Mia Bella - Romantic Kitchen & Bar,"Asian, Italian",1500," Hauz Khas Village, New Delhi",4.2,2346,35
TEO - Lounge & Bar,"North Indian, Chinese, Italian, Mughlai, Beverages",2200," Punjabi Bagh, New Delhi",4.2,422,0
Romeo Lane,"North Indian, Continental, Italian, Asian",1900," Civil Lines, New Delhi",4.2,915,28
Under The Neem,"Continental, Cafe, North Indian, Italian, Desserts, Beverages",2100," Sector 83, Gurgaon",4.2,299,0
Big Pitcher,"Continental, Modern Indian, Oriental, Mediterranean, Beverages, Mexican, Lebanese",1600," Sector 29, Gurgaon",4.2,231,1
Distillery - Craft Beer & Cocktails,"Bar Food, North Indian, Pizza, Biryani, Chinese, European, Desserts",1600," Sector 29, Gurgaon",4.2,395,0
Breath Fine Lounge And Bar,"Fast Food, Chinese, Continental, North Indian, Bar Food, Desserts",2000," Punjabi Bagh, New Delhi",4.2,567,0
Antidot Waterbar Cafe,"Continental, North Indian, Asian, Pizza, Beverages",1800," Safdarjung, New Delhi",4.2,1259,2
Soi 7 Pub & Brewery,"Chinese, Thai, Japanese, Asian, Pizza, Beverages",2300," Cyber Hub, DLF Cyber City, Gurgaon",4.2,4998,0
Warehouse Cafe,"North Indian, Italian, Asian, Mughlai, Beverages",2100," Connaught Place, New Delhi",4.2,10100,10
Firangi Island,"North Indian, Chinese, Continental, Italian, Momos, Beverages, Mughlai",1400," Kirti Nagar, New Delhi",4.2,540,406
Thai High,Thai,2200," Mehrauli, New Delhi",4.2,920,85
Tippling Street,"North Indian, Italian, Continental, Chinese",1600," Rajouri Garden, New Delhi",4.2,1658,81
SkyHouse,"North Indian, Chinese, Mughlai, Continental, Healthy Food",2400," Logix City Centre, Sector 32, Noida, Noida",4.2,1385,16
Public Affair,"European, Italian, Mexican, Thai, Beverages, Asian",2100," Khan Market, New Delhi",4.2,785,19
The Marketplace,"North Indian, Street Food, Fast Food, Chinese, Desserts, Beverages",1300," Kirti Nagar, New Delhi",4.2,1560,1
Ladera,"Continental, Mediterranean, European, Italian",3800," Sector 29, Gurgaon",4.2,301,0
The Beer Cafe - BIGGIE,"Finger Food, Continental, Italian, Pizza, North Indian, Beverages",1500," Connaught Place, New Delhi",4.2,1732,15
Connaught Club House,"Mexican, Asian, Italian, Beverages",2100," Janpath, New Delhi",4.2,301,2
Sixth Empirica,"North Indian, Italian, Continental",1500," Punjabi Bagh, New Delhi",4.2,2095,0
Summer House Cafe,"Finger Food, Continental, Chinese, Fast Food, Beverages",1900," Hauz Khas, New Delhi",4.2,4765,0
Aqua - The Park,"Continental, Italian, Mediterranean, Beverages",4500," The Park, Connaught Place, New Delhi",4.2,979,0
Backbenchers HQ By Cafetières,"Italian, North Indian, Modern Indian, Chinese, Beverages",1000," Sector 16, Faridabad",4.2,493,137
Amrik Sukhdev,"North Indian, Chinese, South Indian, Street Food",400," Murthal, New Delhi",4.2,1994,0
Made In Punjab,"North Indian, Mughlai",1700," Cyber Hub, DLF Cyber City, Gurgaon",4.2,2593,83
Imperfecto Ruin Pub,"Finger Food, Fast Food, North Indian, Asian, Italian, Beverages",2500," Logix City Centre, Sector 32, Noida, Noida",4.2,2585,1
Xpose Lounge,"North Indian, Chinese, Continental, Beverages",2000," Netaji Subhash Place, New Delhi",4.2,847,116
Rose Cafe,"Coffee, Cafe, Continental, Mediterranean, Fast Food, Italian, Desserts, Beverages",1400," Lado Sarai, New Delhi",4.2,3318,46
OLLY - Olive's All Day Cafe & Bar,"Italian, Pizza, Mediterranean, European, Beverages, Desserts",2000," Cyber Hub, DLF Cyber City, Gurgaon",4.2,724,663
Te Amo,"Continental, North Indian, Mughlai, Finger Food, Beverages",1700," Ansal Plaza Mall, Khel Gaon Marg, New Delhi",4.2,337,7
Civil Lines Wala,North Indian,350," Sector 15, Gurgaon",4.2,631,32
Om Sweets & Snacks,"North Indian, South Indian, Fast Food, Mithai, Bakery, Chinese, Street Food, Beverages",400," Jail Road, New Delhi",4.2,2159,66500
Raasta,"Italian, Fast Food, Pizza, Chinese, North Indian, Desserts",2500," Green Park, New Delhi",4.2,3483,31
The Terrace,"Chinese, North Indian, Mughlai",1000," Supertech Shopprix Mall, Vaishali, Ghaziabad",4.2,414,114
Lazeez Affaire,"North Indian, Mughlai",2600," Chanakyapuri, New Delhi",4.2,1778,373
Mama's Buoi,"North Indian, Continental, Italian, Chinese, Fast Food, Beverages",1000," Hudson Lane, New Delhi",4.2,2927,0
Social Street Cafe,"Chinese, Fast Food, Pasta, Pizza, Burger, Desserts, Beverages",700," Champa Gali, Saket, New Delhi",4.2,853,196
The Luggage Room Kitchen & Bar,"Italian, Chinese, Continental, Beverages",1300," Connaught Place, New Delhi",4.2,1999,0
Radio Station,"Italian, Continental, Chinese, Finger Food, North Indian",1700," Kailash Colony, New Delhi",4.2,866,0
Café High 5,"Bar Food, North Indian, Chinese, Fast Food, Beverages",1600," Connaught Place, New Delhi",4.2,349,4
Band Baaja Baaraat,"North Indian, Chinese, Kebab",900," Rajouri Garden, New Delhi",4.2,1761,4126
Pikkle,"North Indian, Continental, Asian, Sushi",1800," Rajinder Nagar, New Delhi",4.2,850,7
Anglow,"Modern Indian, Finger Food, Continental, Beverages",2000," Khan Market, New Delhi",4.2,791,0
The Laalten,"North Indian, Chinese, Continental, Mexican",1600," Kamla Nagar, New Delhi",4.2,516,259
Punter House Cafe Reloaded,"North Indian, Continental, Mexican, Italian, Chinese",1200," City Centre Mall, Sector 12, Dwarka, New Delhi",4.2,1613,652
Baby Dragon Bar & Restaurant,"North Indian, Thai, Chinese, Continental, Beverages",1600," Sector 18, Noida",4.2,842,1391
Bansal Dhaba,North Indian,300," Sector 31, Faridabad",4.2,672,0
PIND BALLUCHI,"North Indian, Mughlai, Kebab",1200," Indirapuram, Ghaziabad",4.2,468,2104
The Good Food Cafe,"Cafe, Healthy Food, Chinese, Fast Food, Continental, Italian, Desserts, Beverages",650," Pitampura, New Delhi",4.2,793,5708
Nooshe Joon,"Afghan, Iranian, Awadhi, Beverages",1000," Lajpat Nagar 2, New Delhi",4.2,293,544
Pops Barbacoa,"North Indian, Continental, Asian, Chinese",2000," Sohna Road, Gurgaon",4.2,269,9
736 A.D.,"North Indian, Continental, Italian, Chinese",1400," Vijay Nagar, New Delhi",4.2,2116,67
Veg Gulati,"North Indian, Kebab, Mughlai, Biryani, Beverages",1900," Pandara Road Market, New Delhi",4.2,880,783
Underdoggs,"Finger Food, North Indian, Asian, Mexican, Continental",2000," Aerocity, New Delhi",4.2,319,6
Cremeborne,"Ice Cream, Desserts, Fast Food",500," Connaught Place, New Delhi",4.2,1446,1233
Le Cantine,"European, Mediterranean, Italian, Desserts, Beverages",1000," DLF Promenade Mall, Vasant Kunj, New Delhi",4.2,477,714
Taco Bell,"Mexican, Fast Food, Wraps, Beverages",600," Epicuria Food Mall, Nehru Place, New Delhi",4.2,1267,20500
Rajasthali,Rajasthani,700," Connaught Place, New Delhi",4.2,483,431
Kartoon Cafe,"Cafe, North Indian, Chinese, Continental, Desserts, Italian, Beverages",650," Janakpuri, New Delhi",4.2,517,234
Jamie's Pizzeria By Jamie Oliver,"Pizza, Italian",1000," Ambience Mall, DLF Phase 3, Gurgaon",4.2,2832,1707
CAD Tech Bar,"Finger Food, North Indian, Chinese, Fast Food",2500,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.2,1070,2
The Blue Parrot Cafe,"North Indian, Fast Food, Pasta, Italian, Pizza, Beverages, Coffee",1200," Kalkaji, New Delhi",4.2,329,228
Three Tuns Cafe & Bar,"Continental, North Indian, Italian, Chinese",1400," Unity One Mall, Janakpuri, New Delhi",4.2,1317,4
Angithi,"North Indian, Chinese",1100," Mayur Vihar Phase 1, New Delhi",4.2,902,4036
IHOP,"Cafe, American, Desserts, Beverages, Sandwich, Burger",1800," Cyber Hub, DLF Cyber City, Gurgaon",4.2,2334,1358
Maharashtra Sadan,"Maharashtrian, North Indian",700," India Gate, New Delhi",4.2,908,0
The Ladakhi Kitchen,"Tibetan, Momos, Chinese",750," Supermart 1, DLF Phase 4, Gurgaon",4.2,863,4193
Café Pluck - Pullman New Delhi Aerocity,"Cafe, Italian, Street Food, North Indian, Desserts",3000," Pullman New Delhi Aerocity, Aerocity, New Delhi",4.2,400,44
Lha Kitchen,"Chinese, Nepalese, Tibetan",600," Safdarjung, New Delhi",4.2,253,795
Le Cirque - The Leela Palace,"French, Italian",5000," The Leela Palace, Chanakyapuri, New Delhi",4.2,311,0
Lanterns Kitchen & Bar,"Fast Food, North Indian, Mughlai",1200," Rajendra Place, New Delhi",4.2,2142,16
Branch Kitchen And Bar,"Asian, Italian, Burger, Sandwich, Sushi",1400," South Extension 2, New Delhi",4.2,627,58
Gravity Spacebar,"Continental, North Indian, Chinese, Momos",1700," Sector 29, Gurgaon",4.2,1495,1
The Creative Kitchen - Radisson Noida,"Continental, Chinese, North Indian",2800," Radisson, Sector 55, Noida, Noida",4.2,501,0
Chateau De Pondichery,"Chettinad, French, South Indian, Tamil, Beverages",1700," Adchini, New Delhi",4.2,731,97
Electro - High Spirit Club,"Continental, Italian, North Indian",1400," Rajouri Garden, New Delhi",4.2,669,0
Shalom/Laidback Bar,"Continental, North Indian, Asian, Cafe, Pizza, Italian",2000," DLF Avenue, Saket, New Delhi",4.2,403,0
Ching Singh,"Chinese, North Indian, Mughlai, Biryani, Seafood, Desserts",1600," Logix City Centre, Sector 32, Noida, Noida",4.2,719,1370
Kali Ghata,"North Indian, South Indian, Chinese, Fast Food, Mithai",500," Uttam Nagar, New Delhi",4.2,807,3460
Baluchi - The Lalit New Delhi,"Mughlai, North Indian, South Indian, Kebab",4000," The Lalit New Delhi, Barakhamba Road, New Delhi",4.2,515,0
Elma's Bakery & Kitchen,"Bakery, Italian, Continental, Beverages",1500," Hauz Khas Village, New Delhi",4.2,2210,5449
Haldiram's,"North Indian, South Indian, Fast Food, Mithai, Street Food, Bakery, Chinese",600," Lajpat Nagar 3, New Delhi",4.2,1365,8265
Fateh Chand Kachori,Street Food,100," Civil Lines, New Delhi",4.2,289,3117
Helix - The Celestial Kitchen,"Chinese, Asian, Continental, North Indian, Beverages",1600," Elements One Mall, Sector 49, Gurgaon",4.2,344,29
TCRC - The Club Road Cafe,"Chinese, Mughlai, North Indian, Beverages, Continental",1400," Punjabi Bagh, New Delhi",4.2,1461,42
Food Exchange - Novotel New Delhi Aerocity,"North Indian, Continental, European, Desserts, Beverages, Asian",3000," Novotel New Delhi Aerocity, Aerocity, New Delhi",4.2,523,3
The Tummy Section,"Fast Food, Chinese",350," Jail Road, New Delhi",4.2,1765,15800
Chacha Gyan Ka Dhaba,North Indian,500," NIT, Faridabad",4.2,445,0
Pandit Ji Parantha Hut,"North Indian, Beverages",250," Ashok Vihar Phase 2, New Delhi",4.2,1793,83200
Spize Barbeque & Bar,"North Indian, Chinese, BBQ, Mughlai, Beverages",1900," Sector 63, Noida",4.2,1283,246
Big Boyz Lounge Air Bar,"Bar Food, North Indian, Chinese, Fast Food, Desserts, Beverages",1800," Sector 29, Gurgaon",4.2,1310,0
Latest Recipe -  Le Meridien Gurgaon,"North Indian, Asian, Italian, European, Mediterranean, Salad, Desserts, Beverages",3000," Le Meridien Gurgaon, MG Road, Gurgaon",4.2,540,45
Prem Dhaba,"North Indian, Mughlai",600," Karol Bagh, New Delhi",4.2,923,1500
Rewari Sweets,"Mithai, Street Food",150," Sadar Bazar, Gurgaon",4.2,566,0
Delectable Cafe,"Continental, Mediterranean, Salad, Italian, Lebanese, Seafood",1600," Baani Square, Sector 50, Gurgaon",4.2,417,1234
Culinary Blend,"Mexican, Chinese, Italian, Beverages",1200," Baani Square, Sector 50, Gurgaon",4.2,426,318
The Smoke Factory,"North Indian, Fast Food, Chinese, Beverages, Kebab, Mughlai",1500," Gardens Galleria, Sector 38 Noida, Noida",4.2,1104,1
#TYM Cafe & Restaurant,"Cafe, Continental, Chinese, North Indian, Healthy Food, Italian, Pizza",800," Raj Nagar, Ghaziabad",4.2,550,1052
Cafe G - Crowne Plaza,"North Indian, Continental, Chinese",3500," Crowne Plaza, Sector 29, Gurgaon",4.2,373,30
Judge & Jury,"North Indian, Chinese, Continental, Italian",1500," Hudson Lane, New Delhi",4.2,1051,243
Italiano,"Pizza, Italian, Desserts, Beverages",1100," Cyber Hub, DLF Cyber City, Gurgaon",4.2,1654,438
21 Shots - The MRP Bar,"Chinese, Continental, North Indian, Italian",1700," Sector 29, Gurgaon",4.2,852,104
Gulab,"Mithai, North Indian, South Indian, Street Food, Fast Food, Chinese",600," Pitampura, New Delhi",4.2,1547,46300
"Cafe Dakia-Pizza,Pasta & More","Cafe, Fast Food, Panini, Pasta, Pizza, Italian, Beverages",600," Sushant Lok, Gurgaon",4.2,202,907
Seasonal Tastes - The Westin Gurgaon,"North Indian, Asian, Japanese, Thai, Sushi, Desserts",3400," The Westin Gurgaon, Sector 29, Gurgaon",4.2,828,140
NutrioBox,"Continental, Fast Food, Healthy Food, Desserts, Beverages",600," Prashant Vihar, New Delhi",4.2,659,7918
Al Jawahar,"Mughlai, North Indian",500," Jama Masjid, New Delhi",4.2,3234,523
RP's Restaurant,"Mughlai, North Indian, South Indian, Fast Food, Chinese, Rolls",700," Malviya Nagar, New Delhi",4.2,1688,35600
Chinese Panda,Chinese,1500," Sector 29, Gurgaon",4.2,1023,4083
Prego - The Westin Gurgaon,Italian,4000," The Westin Gurgaon, Sector 29, Gurgaon",4.2,729,0
Shekaza - Since 1992,"North Indian, Mughlai, Chinese, Biryani, Thai",800," Chittaranjan Park, New Delhi",4.2,596,3446
Nagaland's Kitchen,"Chinese, Thai, Seafood, Naga",1500," Green Park, New Delhi",4.2,1167,2903
Dhaba At Atta,"North Indian, Chinese, Kebab, Desserts, Beverages",1000," Sector 18, Noida",4.2,970,894
Momo's Point,"Chinese, Fast Food",500," Kamla Nagar, New Delhi",4.2,1669,4655
Walk In The Woods,"North Indian, Mughlai, Chinese",1300," Vaishali, Ghaziabad",4.2,1309,1718
The Whisky Bar & Brewpub,"North Indian, Fast Food, Italian",2000," Sector 29, Gurgaon",4.2,479,7
Smelling Salts,"North Indian, Chinese, Fast Food, Mughlai, Beverages",1200," Ashok Vihar Phase 2, New Delhi",4.2,499,236
Zaika-E-Dilli,"North Indian, Chinese, South Indian, Fast Food",400," Shahdara, New Delhi",4.2,1656,43500
Cafe Culture,"Cafe, Italian, Continental, Beverages",1000," Greater Kailash 1 (GK1), New Delhi",4.2,429,106
Maini's Green Leaf,"North Indian, Chinese",900," Kaushambi, Ghaziabad",4.2,675,3378
Momo King,"Momos, Chinese, Tibetan, Fast Food, Malaysian, Nepalese, Thai",400," Sushant Lok, Gurgaon",4.2,423,7776
Abdul Ghani Qureshi Kabab Corner,"Kebab, North Indian, Biryani, Fast Food",100," Jama Masjid, New Delhi",4.2,341,828
Pling - Pullman New Delhi Aerocity,"Bar Food, North Indian, Continental",2700," Pullman New Delhi Aerocity, Aerocity, New Delhi",4.2,264,0
Jughead's Fast Food Corner,"Chinese, Fast Food, North Indian",500," Uday Park, New Delhi",4.2,857,5339
Khidmat,"North Indian, Mughlai, Chinese, Beverages",800," Sector 50, Noida",4.2,819,9472
Flavors Of Chennai,South Indian,700," Malviya Nagar, New Delhi",4.2,820,19500
Symposium,"North Indian, Chinese, Italian, European, Beverages, Mughlai",1600," City Centre Mall, Sector 12, Dwarka, New Delhi",4.2,604,465
Kishu Di Hatti Sweets,Mithai,150," Sector 7, Gurgaon",4.2,343,0
Wok In The Clouds,"Chinese, Thai, Continental, North Indian, Beverages",2000," Khan Market, New Delhi",4.2,1136,490
Bella Cucina - Le Meridien Gurgaon,Italian,3000," Le Meridien Gurgaon, MG Road, Gurgaon",4.2,176,0
The Artful Baker,"Bakery, Desserts, Beverages, Fast Food",500," Khan Market, New Delhi",4.2,398,391
Kaffiiaa - The Italian Kitchen,"Bakery, Italian, Pizza, Momos, Continental, Fast Food, Desserts, Beverages",1000," Sector 18, Noida",4.2,381,921
Bhaja Govindam,"North Indian, South Indian, Fast Food",500," Asaf Ali Road, New Delhi",4.2,420,554
Cafe Grub Up,"Cafe, Fast Food, Chinese, Seafood, Desserts, Beverages",1000," Sector 15, Faridabad",4.2,611,571
Bottles And Barrels,"North Indian, Asian, Italian, Momos",1900," Sector 30, Gurgaon",4.2,668,33
Haji Shabrati Nihari Wale,Mughlai,200," Jama Masjid, New Delhi",4.2,402,0
Flavours Of Chakhna,"North Indian, Mughlai, Chinese, Biryani",500," Amrapali Leisure Valley, Greater Noida",4.2,229,3433
Mystery Of Food,"North Indian, Chinese, Mughlai, Italian",2200," Indirapuram, Ghaziabad",4.2,1072,1667
Biryani Blues,"Biryani, Kebab",700," Supermart 1, DLF Phase 4, Gurgaon",4.2,2252,24300
Prem Di Hatti,"North Indian, Street Food",200," Rajouri Garden, New Delhi",4.2,1004,18600
Ghalib Kabab Corner,"North Indian, Mughlai, Kebab, Desserts, Beverages",400," Nizamuddin, New Delhi",4.2,464,40
Keralicious,"South Indian, Kerala",300," Supermart 1, DLF Phase 4, Gurgaon",4.2,259,2973
Depot48,"North Indian, Street Food, Modern Indian, Bengali, Desserts, Beverages",1800," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.2,358,132
Downtown Kitchen & Bar - Courtyard by Marriott,"North Indian, Fast Food, Continental, Italian, Desserts, Beverages",3500," Courtyard by Marriott, Sushant Lok, Gurgaon",4.2,535,77
